	TCGA-S3-AA0Z-01	TCGA-S3-A6ZH-01	TCGA-S3-A6ZF-01	TCGA-S3-AA11-01	TCGA-S3-AA14-01	TCGA-S3-AA15-01	TCGA-S3-AA10-01	TCGA-S3-A6ZG-01	TCGA-S3-AA17-01	TCGA-S3-AA12-01
FIGN	271	7	42	93	36	121	117	262	9	54
FILIP1L	663	902	4234	544	1186	1898	1264	1431	1472	421
FILIP1	8316	61	207	41	112	209	56	133	121	33
FIP1L1	2587	3247	3563	2166	1287	896	3627	3947	2134	1757
FIS1	1133	4775	5390	3504	2488	2453	2261	3278	4261	3443
FITM1	11	10	6	31	11	22	25	11	8	19
FITM2	159	435	230	137	256	68	81	292	449	137
FIZ1	1421	1679	1747	1391	619	638	951	1730	665	1009
FJX1	171	269	293	215	335	559	813	1448	919	290
FKBP10	6618	6613	15311	4428	3908	7968	5583	6608	13566	7558
FKBP11	1650	656	1937	903	539	8893	1753	1023	3856	401
FKBP14	1293	582	780	366	548	913	352	483	279	248
FKBP15	6061	3731	3106	3015	2535	2011	3145	3696	3275	2008
FKBP1AP1	2	8	14	23	33	9	39	69	44	11
FKBP1A	6349	11414	10088	8237	4854	8638	12453	7938	8959	3857
FKBP1B	50	36	49	22	67	69	51	171	26	213
FKBP2	2268	1289	3110	1987	1636	3634	1740	1581	3106	1458
FKBP3	1754	7962	7099	2991	2229	1562	1904	3991	2741	2616
FKBP4	7683	51342	39158	11116	16351	6098	12436	30793	18802	39566
FKBP5	7811	31133	3359	1658	28943	4256	4034	2952	9760	685
FKBP6	0	0	0	8	4	3	1	2	2	1
FKBP7	1593	802	842	398	507	510	270	767	208	213
FKBP8	15449	8050	7745	8455	5846	8587	10561	11413	9621	4837
FKBP9L	296	109	194	64	121	128	102	97	112	60
FKBP9	14186	5818	9749	4540	6000	7058	5074	6397	7036	3448
FKBPL	1309	697	424	377	289	317	519	707	384	516
FKRP	1161	967	408	770	667	595	976	775	452	577
FKSG29	2	0	1	0	2	0	0	1	0	0
FKSG73	0	0	0	0	0	0	0	0	0	0
FKSG83	0	0	1	0	0	0	0	0	0	0
FKTN	2712	2058	1835	989	730	418	1022	2256	1300	911
FLAD1	6642	7705	4378	2878	1670	3217	4205	4596	2303	2161
FLCN	2175	2987	1478	2225	1850	974	1170	2454	1045	1870
FLG2	1	1	0	2	0	3	0	1	0	0
FLG	13	18	76	8	55	56	6	9	20	2
FLI1	700	599	959	303	556	1568	1181	741	1490	266
FLII	6976	16972	7332	10727	12374	6339	10799	8107	6671	6141
FLJ10038	1054	927	321	736	636	490	239	587	366	543
FLJ10213	87	26	57	32	40	32	12	50	44	18
FLJ10357	1894	1539	5117	2242	3026	1823	1766	2053	1909	487
FLJ10661	48	93	117	148	46	34	15	321	210	137
FLJ11235	49	51	40	76	107	27	8	50	19	10
FLJ12825	57	92	79	67	26	11	4	41	313	4
FLJ13197	59	50	23	33	38	26	11	90	73	38
FLJ13224	4	7	6	3	6	7	8	3	9	4
FLJ14107	6	0	3	1	2	3	0	7	2	0
FLJ16779	1	13	13	9	139	3	12	9	8	1
FLJ22536	714	33	79	47	72	103	100	71	14	10
FLJ23867	7188	7514	4224	4244	1109	1756	765	2746	8432	975
FLJ25328	0	0	0	0	0	0	0	0	0	0
FLJ25363	0	0	0	0	0	0	0	0	0	0
FLJ25758	0	0	0	0	0	0	0	3	0	0
FLJ26850	61	2	7	26	7	19	2	56	3	2
FLJ30679	1	0	0	2	0	0	3	0	0	0
FLJ32063	4	0	0	0	0	0	6	0	24	0
FLJ33360	8	2	23	13	12	8	3	17	2	1
FLJ33630	645	1965	1249	871	918	557	516	1953	244	950
FLJ34503	1	1	0	4	1	0	0	1	14	0
FLJ35024	27	30	11	15	4	19	35	6	5	6
FLJ35220	758	748	323	1284	597	344	383	2183	665	1104
FLJ35390	68	125	237	47	45	163	111	328	401	416
FLJ35776	412	293	382	375	242	197	119	980	221	368
FLJ36000	3	0	0	0	0	0	1	0	0	0
FLJ36031	595	530	836	369	418	827	1214	435	440	430
FLJ36777	16	13	10	19	18	5	0	14	6	12
FLJ37201	104	29	17	5	21	11	14	44	43	74
FLJ37307	2	6	14	14	10	9	5	36	19	8
FLJ37453	439	390	137	495	361	187	108	314	90	413
FLJ37543	20	14	0	1	0	1	1	1	7	3
FLJ39582	103	231	55	121	121	65	66	138	48	171
FLJ39609	0	0	1	30	11	0	0	4	0	5
FLJ39653	148	258	206	245	37	101	42	254	126	196
FLJ39739	32	1	7	57	12	17	7	2	14	1
FLJ40292	2	5	1	4	2	2	3	1	4	2
FLJ40330	389	75	28	336	58	1706	447	321	316	132
FLJ40434	0	0	0	0	0	0	0	0	0	0
FLJ40504	1	0	9	0	0	0	0	0	1	1
FLJ40852	58	173	44	104	67	46	63	281	48	101
FLJ41941	0	2	1	0	0	27	11	3	0	0
FLJ42289	12	258	40	72	31	35	29	30	16	473
FLJ42393	0	0	0	1	2	0	0	1	1	0
FLJ42627	110	144	177	173	62	49	93	505	202	75
FLJ42709	20	60	155	69	345	127	99	240	52	50
FLJ42875	1	2	4	4	9	15	3	8	3	1
FLJ43390	0	0	0	1	0	1	0	0	2	0
FLJ43663	316	55	211	99	115	328	209	99	286	217
FLJ43859	0	0	0	0	0	0	1	0	0	0
FLJ43860	2	0	0	5	0	0	0	1	0	0
FLJ43950	0	0	0	0	0	0	1	0	1	0
FLJ44054	39	0	0	1	0	2	4	1	0	1
FLJ44082	0	0	0	0	0	0	0	0	0	0
FLJ44606	353	267	271	64	64	46	80	322	98	130
FLJ44635	7	30	41	32	14	20	13	47	17	4
FLJ45079	9	0	1	1	1	3	0	0	2	0
FLJ45244	129	143	75	203	85	116	40	324	110	295
FLJ45340	2364	1496	2274	3196	2383	1921	2723	2783	3436	2352
FLJ45445	979	420	202	1067	149	300	193	499	1315	202
FLJ45983	42	1383	51	2290	238	115	14	358	71	2496
FLJ46111	3	21	37	17	25	2	6	51	8	10
FLJ46321	0	0	0	0	0	0	0	0	0	0
FLJ46361	0	0	0	0	36	0	0	0	0	0
FLJ90757	1213	1052	3017	1770	718	909	601	3533	3086	1104
FLNA	40489	14950	39469	16664	39016	52894	89002	32666	25690	13111
FLNB	31756	28814	30218	23274	52247	11297	30317	48286	26460	54755
FLNC	137	206	747	273	1397	904	396	405	238	77
FLOT1	10519	14723	18802	10215	7459	7113	7269	12464	10313	8818
FLOT2	13546	6476	5938	6182	4253	6611	5140	6183	5559	5779
FLRT1	37	10	63	25	9	25	15	20	44	23
FLRT2	1244	162	257	280	513	895	319	376	281	116
FLRT3	18	50	276	119	102	31	3	787	6	159
FLT1	2016	2171	2184	999	1599	1742	1326	1768	1421	915
FLT3LG	390	381	227	152	149	302	441	488	412	113
FLT3	41	507	80	601	615	145	115	2702	284	605
FLT4	2941	480	521	396	775	744	661	444	615	281
FLVCR1	1233	1393	1681	316	257	334	328	1256	1142	227
FLVCR2	366	959	416	222	196	358	632	359	711	197
FLYWCH1	1515	2256	1829	1389	1419	1004	793	2890	1450	2067
FLYWCH2	591	3782	1390	1039	791	550	501	3026	1236	1736
FMN1	392	408	506	104	295	20	66	625	405	82
FMN2	5	10	82	1	37	11	2	10	38	1
FMNL1	2681	723	1537	424	742	2843	4206	1853	3855	549
FMNL2	3886	641	1254	1054	808	1663	2249	1587	1372	226
FMNL3	2469	1315	3092	1356	2813	2430	2847	2837	2872	682
FMO1	98	210	126	28	313	716	163	120	246	31
FMO2	117	512	181	81	668	1573	70	55	100	19
FMO3	47	10	217	20	36	110	41	49	113	19
FMO4	439	1915	217	243	1408	218	64	283	192	447
FMO5	464	206	1013	1064	1832	82	31	3560	2116	866
FMO6P	0	0	0	0	4	83	0	1	0	0
FMO9P	0	9	1	0	0	0	0	0	0	0
FMOD	631	1661	1435	1499	4719	4747	1472	2832	2156	335
FMR1NB	1	0	2	0	0	0	1	0	1	0
FMR1	4575	4392	2839	2278	2100	1123	3554	4182	1915	1929
FN1	70935	61065	287268	143663	280296	135374	64050	172612	104105	93443
FN3KRP	2013	4831	2852	2043	1168	1971	1987	3598	3474	3900
FN3K	476	935	958	1140	472	766	959	1441	2646	2330
FNBP1L	8383	8803	6089	7081	4937	1747	2793	7951	2487	4493
FNBP1	3484	2162	3116	2667	2042	3282	5822	3711	5661	1874
FNBP4	3863	3471	2917	4189	2498	2761	3037	4427	5127	1932
FNDC1	1734	710	3667	1605	3542	13092	8391	1572	1678	864
FNDC3A	5368	3497	4943	2911	1996	2768	2183	3016	2692	2980
FNDC3B	9735	2660	3262	1657	3541	5635	5271	2234	4089	762
FNDC4	105	104	254	148	191	660	246	148	58	49
FNDC5	24	18	127	47	71	62	11	42	58	11
FNDC7	2	1	0	0	0	0	4	0	0	2
FNDC8	61	30	15	23	17	23	45	43	12	7
FNIP1	1612	3896	2219	1973	2072	611	813	5395	1801	2160
FNIP2	1191	987	1411	814	1050	488	629	1790	1652	735
FNTA	3533	9570	4679	2388	1455	1799	6748	4287	2709	1557
FNTB	627	2639	1245	1567	1362	810	1056	2559	973	1600
FOLH1B	49	3	1	4	45	1	6	0	1	5
FOLH1	656	44	184	113	663	170	197	52	192	71
FOLR1	16901	123	951	33	47	222	132	12	0	0
FOLR2	807	372	269	90	140	1181	121	126	745	217
FOLR3	2	2	1	0	1	13	5	1	0	0
FOLR4	0	0	0	0	1	2	0	1	3	0
FOSB	1942	253	568	1740	1436	1601	5772	805	594	136
FOSL1	23	30	128	32	33	108	3071	48	34	13
FOSL2	5923	6490	3229	1610	4496	5006	4050	8323	6702	2790
FOS	8416	1446	1657	10458	6089	15567	21757	15931	2498	733
FOXA1	37	17683	19333	34789	12588	482	67	27684	8669	21629
FOXA2	2	1	2	0	0	0	0	0	0	0
FOXA3	47	114	6	5	1	1	25	17	11	4
FOXB1	1	0	2	0	0	0	1	0	0	0
FOXB2	2	0	0	0	0	0	0	0	0	0
FOXC1	18109	1985	174	218	275	4674	8622	203	121	201
FOXC2	118	8	22	28	34	44	222	24	14	6
FOXD1	5427	7	325	205	14	110	817	9	4	3
FOXD2	106	7	277	199	48	23	46	303	473	122
FOXD3	149	67	22	7	0	2	375	35	14	5
FOXD4L1	24	28	33	42	10	12	7	50	15	21
FOXD4L2	12	3	37	86	32	4	17	124	32	4
FOXD4L3	0	0	1	2	1	0	0	4	0	0
FOXD4L5	2	0	0	4	1	0	3	4	4	0
FOXD4L6	0	7	11	15	6	8	6	11	2	9
FOXD4	106	90	53	63	38	11	17	109	11	66
FOXE1	0	0	1	2	0	0	0	1	1	0
FOXE3	9	1	1	6	2	0	11	1	4	2
FOXF1	15	13	16	12	7	23	32	15	45	13
FOXF2	29	143	131	55	230	256	84	145	61	23
FOXG1	124	0	0	0	1	0	294	0	2	0
FOXH1	13	32	72	51	10	7	7	47	18	69
FOXI1	25	4	4	10	26	117	30	50	2	0
FOXI2	2	18	5	5	11	9	0	5	1	1
FOXI3	9	1	2	3	4	20	131	2	0	29
FOXJ1	2	24	2397	250	3	1	421	5096	4	7
FOXJ2	2859	3903	3022	1827	1705	1345	2344	2784	2010	1225
FOXJ3	3151	3792	4100	2987	3038	1747	2863	5575	3050	2146
FOXK1	9064	904	2833	1920	2421	2326	4292	3645	2619	948
FOXK2	4814	7417	4644	3667	2608	3050	6971	4605	5927	6545
FOXL1	148	15	35	33	27	57	102	35	30	30
FOXL2	12	1	2	8	2	22	5	1	1	0
FOXM1	11747	3605	4521	1444	801	3405	13536	3060	2831	1375
FOXN1	71	91	77	7	29	4	4	174	52	50
FOXN2	791	874	1251	308	277	605	1150	665	903	194
FOXN3	3837	4256	2339	2303	4025	2242	1919	3464	2780	994
FOXN4	19	2	212	35	1	1	0	445	1	11
FOXO1	910	663	1561	392	848	1751	824	961	1820	645
FOXO3B	2675	1997	1855	1801	1343	1534	1075	3607	2216	754
FOXO3	4611	3488	3921	4013	2684	3394	1973	7698	4240	1428
FOXO4	1893	1003	883	916	801	864	671	2146	1278	1452
FOXP1	7231	1275	2706	2993	1912	1667	956	7186	2032	2376
FOXP2	6	15	26	4	74	66	2	14	10	130
FOXP3	168	180	211	76	95	152	1106	202	1179	126
FOXP4	8518	5776	5779	5786	3517	4415	7894	3950	6807	5716
FOXQ1	21	25	53	19	177	159	110	18	16	4
FOXR1	2	0	0	1	0	0	0	0	0	0
FOXR2	0	0	0	0	0	0	0	0	0	0
FOXRED1	1023	1504	1280	1242	1061	1527	1233	977	643	559
FOXRED2	3619	4080	1487	1649	2687	716	1286	1828	2797	2581
FOXS1	100	47	97	141	107	120	212	190	76	94
FPGS	3972	1743	1947	2542	1236	1923	2220	2538	2285	1823
FPGT	2000	2200	1243	1286	963	362	482	1691	532	1089
FPR1	798	91	762	49	135	603	463	272	647	90
FPR2	31	6	17	1	1	64	82	8	80	5
FPR3	1705	1310	1645	263	475	1648	3835	1142	4553	429
FRAS1	211	73	84	466	349	330	481	1520	68	20
FRAT1	656	457	528	243	335	256	136	677	581	864
FRAT2	2312	859	960	627	646	544	726	1499	1020	1080
FREM1	171	96	117	11	134	215	20	39	257	1
FREM2	54	121	1498	299	101	34	55	7	160	409
FRG1B	1488	964	212	366	325	162	207	637	537	901
FRG1	2010	1779	1643	919	685	478	1107	2073	1603	694
FRG2B	6	0	2	0	0	0	0	1	0	0
FRG2C	3	2	10	0	0	0	1	0	4	0
FRG2	6	0	0	0	0	0	1	0	0	0
FRK	1287	526	263	279	261	171	20	918	208	28
FRMD1	6	2	3	15	2	1	0	1	3	2
FRMD3	30	191	29	18	33	45	596	28	277	8
FRMD4A	3101	2970	1644	1811	1684	2104	5154	1178	2643	1448
FRMD4B	1742	963	1400	599	521	947	397	621	605	759
FRMD5	5	14	18	11	30	48	63	13	7	2
FRMD6	886	3953	7646	3114	3059	1727	2323	9494	1315	2195
FRMD7	14	3	4	7	9	0	3	2	2	1
FRMD8	3688	1816	3842	2195	2528	2307	5403	1389	3976	1869
FRMPD1	1	6	218	52	41	13	6	75	2	0
FRMPD2L1	0	0	1	0	0	0	0	0	0	0
FRMPD2	0	6	125	5	1	1	0	9	56	2
FRMPD4	0	1	0	2	4	1	9	2	0	1
FRRS1	361	513	298	244	378	151	161	236	152	191
FRS2	1933	14562	4982	6298	2116	449	1904	3993	1849	1889
FRS3	650	458	680	356	217	243	347	334	322	407
FRYL	3114	3767	5636	3417	1433	1463	4399	6175	3189	1866
FRY	2658	999	1155	3150	707	716	176	2698	1153	2530
FRZB	3802	182	572	281	915	908	41	868	768	319
FSCB	0	14	0	0	0	0	0	0	0	1
FSCN1	43844	1994	2208	1444	2462	8896	8362	1416	2347	1152
FSCN2	8	19	10	65	16	20	7	71	118	83
FSCN3	5	3	3	5	1	3	0	1	4	2
FSD1L	545	112	336	154	49	36	177	415	92	137
FSD1	111	0	8	1	1	9	224	24	16	1
FSD2	0	6	1	1	1	0	0	2	2	3
FSHB	0	0	0	1	0	0	0	0	0	0
FSHR	0	0	0	0	0	0	0	0	0	0
FSIP1	46	697	3488	645	1172	7	6	5721	25	788
FSTL1	5568	7687	15918	5173	18851	22132	7322	9745	8594	3736
FSTL3	514	637	1823	892	1163	784	221	2352	2625	1349
FSTL4	337	347	29	124	58	9	25	96	43	188
FSTL5	0	1	0	0	0	0	1	0	0	0
FST	35	96	110	268	424	229	36	248	35	590
FTCD	20	0	0	9	0	0	6	1	12	2
FTH1	61207	69029	115424	74390	52178	61564	68432	42654	161028	72973
FTHL17	1	0	0	0	0	1	0	0	0	61
FTHL3	971	962	1624	1018	770	901	933	648	2796	871
FTLP10	0	0	0	0	0	0	0	0	0	0
FTL	67347	66906	56676	46380	36302	142242	133662	84396	71348	36041
FTMT	2	0	0	0	0	16	2	0	0	0
FTO	2215	6995	7684	3836	5761	1494	1405	1798	2449	9688
FTSJ1	2281	2122	2283	1520	1377	1717	2468	1643	1470	1292
FTSJ2	2474	2976	2397	1309	1257	1109	2192	1876	2224	1184
FTSJ3	3944	6134	3786	3248	2923	2638	4323	5082	3053	2104
FTSJD1	817	4491	1647	1971	1031	532	935	2222	753	886
FTSJD2	5463	4520	4663	3007	2383	2170	3780	3545	4769	2750
FUBP1	6703	7373	6534	4400	3292	2348	4949	5725	3222	2865
FUBP3	4432	4265	3668	2934	2100	1200	2910	4421	2734	2233
FUCA1	1557	1189	2805	2415	1746	2507	3920	3687	3940	2056
FUCA2	3175	2961	3133	2293	1059	2123	2002	1842	4001	1797
FUK	690	5888	1446	1908	680	781	720	714	989	698
FUNDC1	720	2283	2895	702	416	349	476	1203	698	1576
FUNDC2P2	3	12	12	3	3	5	10	7	3	1
FUNDC2	2883	4047	5839	1977	1815	2123	2374	4459	1700	1847
FURIN	28661	4384	5743	6521	6113	13164	8120	4521	2957	8616
FUS	27630	32821	17010	11261	8788	8461	14693	23871	13881	14688
FUT10	324	285	244	153	367	222	381	574	239	1548
FUT11	503	311	503	267	516	277	343	329	416	476
FUT1	582	327	366	285	61	152	841	369	160	381
FUT2	292	1695	881	113	32	91	141	740	826	542
FUT3	320	1702	137	3	22	22	149	69	30	6
FUT4	265	287	409	370	347	529	792	183	476	53
FUT5	17	0	0	0	1	3	1	0	0	1
FUT6	164	177	12	0	16	18	19	11	49	3
FUT7	92	38	65	11	6	184	257	20	368	13
FUT8	1264	5600	2883	3547	1976	2601	1025	6957	3337	1596
FUT9	12	7	121	102	30	7	77	16	72	1
FUZ	960	2095	717	808	606	570	599	2614	1216	2016
FXC1	1582	3494	1931	1718	1591	842	1218	2731	2648	3064
FXN	514	504	328	465	215	386	732	372	340	297
FXR1	11112	9157	8496	4553	2981	4401	6190	6172	4175	4096
FXR2	4159	2119	2621	2902	2078	1449	3531	3760	1331	2798
FXYD1	0	15	10	12	87	127	12	35	23	3
FXYD2	9	7	6	4	4	10	19	7	16	5
FXYD3	10107	31348	6346	2835	9326	1414	3267	14182	12026	5997
FXYD4	37	17	0	0	0	0	3	0	0	0
FXYD5	2814	1489	2340	1322	1760	4001	8834	4116	2910	1082
FXYD6	4970	482	675	582	946	1064	2599	984	1055	255
FXYD7	2	3	4	3	3	15	9	0	16	1
FYB	2082	711	1313	189	551	1255	2458	1981	3146	263
FYCO1	1672	2321	3295	1873	4312	1383	1132	3662	1844	1495
FYN	797	664	1242	373	741	1931	2028	813	2330	369
FYTTD1	5656	6460	7658	3081	3279	2146	4590	3407	3535	2290
FZD10	36	45	25	33	150	72	12	33	24	46
FZD1	1356	2484	3072	1472	2274	2529	2560	3442	2591	1033
FZD2	580	318	832	538	262	292	354	972	203	51
FZD3	732	228	479	358	175	520	359	523	21	139
FZD4	1258	651	1653	1733	2920	2626	843	1834	1381	883
FZD5	511	438	322	36	174	363	476	696	153	87
FZD6	2744	2122	5659	984	1513	732	3476	552	1943	2511
FZD7	9080	1133	1600	1800	1692	2618	4644	2391	358	1473
FZD8	8191	376	266	393	660	324	1147	592	279	250
FZD9	55	2	20	1	4	66	160	0	2	0
FZR1	3392	2488	2698	2926	2141	1651	3657	5050	3169	3100
G0S2	281	171	192	120	293	911	232	144	78	38
G2E3	1021	1779	1505	679	620	362	1087	2196	1021	952
G3BP1	8863	8748	5557	4945	7039	2595	6353	7195	4814	3783
G3BP2	7930	9507	10540	6170	9393	3182	9084	11553	6864	5935
G6PC2	0	0	0	0	1	0	0	14	0	1
G6PC3	3257	10995	6129	5199	2476	1643	1377	4466	4195	5433
G6PC	0	0	0	0	0	0	1	9	0	0
G6PD	1771	6583	5381	2314	5272	2130	3148	3163	3176	2418
GAA	17734	11018	5639	7529	11916	6691	4467	6454	12133	6124
GAB1	1417	1299	4245	2237	1342	993	552	2725	912	2329
GAB2	572	2865	2385	771	1524	2033	2103	1916	4450	870
GAB3	216	116	276	75	140	421	366	266	463	47
GAB4	3	0	0	3	0	0	0	0	0	0
GABARAPL1	4200	1616	3283	1790	1315	1810	1710	1938	1600	938
GABARAPL2	2411	10212	4235	3191	1665	1908	2560	3918	2284	2514
GABARAPL3	18	4	3	5	0	3	2	2	2	1
GABARAP	12723	12617	11049	13428	9465	9504	11648	20257	8647	11243
GABBR1	5282	669	1733	3882	861	1322	1804	2048	2257	622
GABBR2	8	0	1	1	1	4	27	0	0	0
GABPA	3787	1628	2103	1408	1091	1042	1567	2219	815	1308
GABPB1	1042	2480	1641	915	620	794	1438	1869	905	1018
GABPB2	1894	868	906	284	182	229	291	999	497	205
GABRA1	4	0	0	0	1	2	0	0	0	3
GABRA2	0	24	3	45	51	1	0	1	0	0
GABRA3	0	0	0	1	0	0	1	0	1	0
GABRA4	0	0	0	0	0	0	0	1	0	0
GABRA5	37	0	0	0	0	0	289	0	0	0
GABRA6	0	0	0	0	0	0	0	0	0	0
GABRB1	1	0	92	0	1	0	0	0	4	0
GABRB2	607	7	56	29	22	12	2	29	2	11
GABRB3	41	6	7	9	341	18	33	11	970	2
GABRD	92	101	182	108	80	65	49	90	62	91
GABRE	500	24	73	379	89	397	33	40	32	9
GABRG1	0	1	0	0	0	1	0	0	0	0
GABRG2	0	0	1	0	0	0	0	1	0	0
GABRG3	1	0	0	0	0	2	44	1	0	2
GABRP	62664	873	222	764	2155	24333	85710	3711	40	1
GABRQ	29	0	1	2	0	0	0	0	2	0
GABRR1	0	0	4	4	1	0	4	1	2	3
GABRR2	13	2	4	9	9	20	14	11	10	1
GABRR3	1	0	0	0	0	1	0	0	0	0
GAD1	2	2	4	211	7	15	2	179	0	1
GAD2	0	0	0	0	0	0	0	0	0	0
GADD45A	1441	854	662	735	1403	1372	3052	1693	687	865
GADD45B	1570	7552	2840	1973	2718	2666	2903	2790	4251	3481
GADD45GIP1	1123	2225	1535	1466	1086	1667	2559	2245	1663	2109
GADD45G	1540	908	1097	679	481	188	280	592	1797	841
GADL1	1	0	0	0	0	1	0	2	0	0
GAGE10	0	0	0	2	0	0	0	0	0	4
GAGE12D	0	0	0	0	0	0	0	0	0	331
GAGE12F	0	0	0	0	0	0	0	0	0	0
GAGE12J	0	0	0	0	0	0	0	0	0	2113
GAGE13	0	0	0	0	0	0	0	0	0	106
GAGE1	0	0	0	0	0	0	0	0	0	11
GAGE2A	0	0	0	0	0	0	0	0	0	606
GAGE2B	0	0	0	0	0	0	0	0	0	2694
GAGE2C	0	0	0	0	0	0	0	0	0	65
GAGE2D	0	0	0	0	0	0	0	0	0	1649
GAGE2E	0	0	0	0	0	0	0	0	0	25
GAGE4	0	0	0	0	0	0	0	0	0	222
GAGE8	0	0	0	0	0	0	0	0	0	0
GAK	10901	7001	4229	9039	4940	3312	2878	8600	3880	10395
GAL3ST1	3	4	6	11	17	4	10	3	13	2
GAL3ST2	11	1	47	39	1	3	2	22	35	12
GAL3ST3	0	0	0	1	0	0	0	1	0	0
GAL3ST4	2041	577	1189	453	800	1104	1106	1210	851	409
GALC	1346	2512	3285	1181	3256	882	784	2992	1331	1899
GALE	1160	4274	2784	661	2174	842	1035	2503	1564	1369
GALK1	572	1651	841	649	294	1287	852	717	1093	789
GALK2	1367	1578	605	383	727	624	575	930	486	960
GALM	680	1246	1022	406	2354	637	1113	1734	985	1500
GALNS	1232	1840	1209	1248	768	1285	1184	689	868	541
GALNT10	1153	7888	7669	5540	8117	1826	888	8201	3770	2542
GALNT11	1617	2424	4156	2544	1344	1474	410	3022	1300	3117
GALNT12	158	33	83	55	60	156	100	86	136	25
GALNT13	43	1	75	17	16	391	74	12	2	72
GALNT14	97	26	38	946	20	702	1186	38	30	508
GALNT1	43604	7157	8675	4655	3884	3381	3317	5907	4965	3701
GALNT2	9345	7396	8140	3447	4443	8600	5966	4575	3586	1806
GALNT3	2221	2780	2136	1385	2720	2098	1275	5427	2907	323
GALNT4	1361	2533	2939	740	490	467	470	1825	1245	1017
GALNT5	37	34	294	117	315	189	21	347	2551	65
GALNT6	1595	42452	15379	16237	22951	1212	1017	6130	2188	10762
GALNT7	1467	9531	4805	5314	2149	969	1578	9653	13613	3225
GALNT8	1	5	2	6	2	2	0	12	5	3
GALNT9	6	0	13	1	2	7	2	1	3	2
GALNTL1	287	1379	3464	1262	558	1646	91	2817	1339	1621
GALNTL2	83	111	264	122	205	385	85	329	66	48
GALNTL4	1895	482	481	385	719	637	1018	640	407	315
GALNTL5	0	0	0	0	0	0	0	0	0	0
GALNTL6	3	15	7	18	10	0	7	10	18	3
GALP	1	0	1	0	0	0	0	0	0	0
GALR1	0	0	0	0	0	0	0	0	0	0
GALR2	3	1	7	1	0	5	4	5	2	1
GALR3	4	0	0	2	1	0	0	1	0	1
GALT	1640	177	981	457	241	699	544	572	721	214
GAL	17	18210	56	4	15	73	1316	15	3	1
GAMT	168	2347	928	2281	1305	293	96	2105	1290	2852
GANAB	51926	23127	36977	20267	22730	22841	25616	16482	33589	17091
GANC	1680	1031	481	876	481	473	464	924	498	268
GAN	166	641	236	144	92	62	163	107	71	45
GAP43	7	6	9	10	6	10	6	14	17	2
GAPDHS	5	7	4	11	3	6	14	7	12	12
GAPDH	100162	154002	117662	66016	59339	86730	297215	119730	124414	61278
GAPT	70	151	457	71	137	228	173	334	261	55
GAPVD1	6001	3781	3684	3197	2812	1409	2876	4061	3629	3291
GAR1	784	1448	1383	1103	679	559	2155	1839	863	745
GARNL3	208	65	219	648	182	132	106	226	355	326
GARS	8325	4700	6862	3422	3773	6127	6443	2898	6077	5280
GART	7744	7102	3686	2393	2207	3037	7697	2321	2072	2472
GAS1	1598	644	678	562	1324	3646	1948	638	817	553
GAS2L1	2972	1225	1663	2437	1320	1329	865	1739	1693	2503
GAS2L2	266	2	255	18	1	3	1	162	0	1
GAS2L3	620	130	268	81	116	150	414	303	150	71
GAS2	84	18	6	95	24	29	16	41	20	39
GAS5	3891	3458	4493	5682	3581	2750	4849	22103	9616	3351
GAS6	3132	1554	4068	5043	3826	8331	8262	4056	6750	2730
GAS7	936	1623	2862	996	5050	2498	1837	2118	2240	432
GAS8	693	4885	1872	2680	594	380	663	1853	1153	1077
GAST	0	0	0	0	0	0	38	0	0	0
GATA1	0	5	2	6	2	6	1	12	3	2
GATA2	93	2365	6534	3227	2130	289	81	1870	125	81
GATA3	4032	41831	36067	28713	11772	1512	1397	40045	16957	92540
GATA4	0	0	1	4	27	0	0	2	1	0
GATA5	0	0	609	20	0	0	0	1	0	0
GATA6	71	344	287	303	251	187	236	341	398	9
GATAD1	1213	3186	3554	2477	1688	948	988	3774	2218	2897
GATAD2A	17016	6385	4218	4159	2982	4451	7235	4554	3566	3845
GATAD2B	9089	4440	3522	3455	1995	2105	4015	5228	3106	1820
GATC	147	194	175	66	128	81	91	132	171	153
GATM	189	7979	970	1029	762	345	276	4301	1314	2283
GATSL1	41	14	35	20	43	49	18	29	48	80
GATSL2	2	0	47	0	0	0	0	25	30	2
GATSL3	509	974	667	993	1417	532	125	560	713	825
GATS	505	281	347	332	259	254	347	529	607	464
GBA2	6204	2885	4332	3976	3011	2162	2503	4663	2710	2820
GBA3	0	0	0	0	0	4	0	2	8	152
GBAP1	6022	1840	1561	1328	1098	1032	1013	1680	1090	734
GBAS	3723	7719	5441	4987	2255	1440	2047	5278	2304	2719
GBA	14379	6209	5487	2583	3220	2499	2844	5037	3816	2260
GBE1	1297	2345	2140	835	1023	736	880	1917	720	748
GBF1	8911	5517	7282	6883	5968	4538	3917	7145	8076	5485
GBGT1	864	115	301	128	163	389	594	234	608	96
GBP1	6701	1875	2903	474	924	2467	48985	2316	7588	416
GBP2	5783	7833	2694	3076	1758	4099	8320	3458	10732	2456
GBP3	3993	1321	4094	3031	1114	635	2351	2930	1974	1958
GBP4	2147	1790	2200	219	669	1232	11242	2303	12775	438
GBP5	2101	673	669	103	251	1395	26141	1295	5323	146
GBP6	3	43	20	4	6	13	334	10	52	2
GBP7	0	1	1	3	0	2	7	43	1	1
GBX1	0	1	0	3	0	0	0	1	2	0
GBX2	0	0	2	1	1	20	2	1	0	2
