	TCGA-S3-AA0Z-01	TCGA-S3-A6ZH-01	TCGA-S3-A6ZF-01	TCGA-S3-AA11-01	TCGA-S3-AA14-01	TCGA-S3-AA15-01	TCGA-S3-AA10-01	TCGA-S3-A6ZG-01	TCGA-S3-AA17-01	TCGA-S3-AA12-01
LOC729176	98	129	92	68	40	28	54	115	26	19
LOC729234	250	199	106	260	86	128	69	176	322	159
LOC729375	212	103	266	149	56	90	55	158	572	39
LOC729467	1	0	0	0	0	1	0	0	0	0
LOC729603	177	32	43	105	69	67	52	78	83	13
LOC729609	0	0	0	0	0	0	0	0	0	1
LOC729668	2	5	1	3	68	1	0	4	0	4
LOC729678	1381	2247	725	1223	753	1369	740	1748	1896	1213
LOC729799	70	26	16	81	25	61	36	59	39	30
LOC729991-MEF2B	287	131	64	301	89	151	332	223	133	136
LOC729991	1079	783	1049	670	594	596	532	1142	945	791
LOC730101	1151	316	402	303	186	222	624	978	640	273
LOC730668	2	7	32	7	10	4	2	21	13	6
LOC730811	0	0	0	0	0	0	0	0	0	0
LOC731779	0	0	0	0	0	0	0	0	0	0
LOC731789	2	2	0	0	1	2	0	7	0	1
LOC732275	0	0	0	0	0	0	0	0	0	0
LOC80054	10	115	102	154	121	43	37	160	176	2028
LOC80154	3868	1295	2261	4335	887	688	1160	2088	588	856
LOC81691	1183	821	429	376	588	202	197	1059	758	286
LOC84740	48	10	15	11	12	308	35	27	26	3
LOC84856	1131	11	14	10	17	283	898	4	8	1
LOC84931	0	0	0	0	0	2	0	0	1	0
LOC84989	24	22	20	33	15	73	7	26	98	24
LOC90110	488	762	319	725	717	352	453	794	336	631
LOC90246	14	525	458	591	50	19	4	411	23	1
LOC90586	3	4	5	4	2	7	2	6	4	2
LOC90784	236	308	238	1159	442	138	1080	122	442	404
LOC90834	96	54	76	152	71	62	56	118	125	56
LOC91149	0	0	0	0	0	3	0	0	0	0
LOC91316	792	372	978	1415	881	1007	612	1132	1132	593
LOC91450	8	4	2	8	9	13	10	9	9	5
LOC91948	0	0	0	0	12	1	1	0	0	0
LOC92249	2626	1484	903	1545	992	921	659	1225	1523	1508
LOC92659	295	121	268	201	186	206	211	536	438	594
LOC92973	957	112	205	410	85	44	37	519	50	308
LOC93432	147	1	1	0	0	1	3	0	1	0
LOC93622	529	2006	663	594	1828	417	322	2363	765	1554
LOC96610	49959	9968	19800	2583	14138	916629	324967	64172	352815	30371
LOH12CR1	364	410	335	176	215	270	318	477	234	289
LOH12CR2	105	78	55	77	77	41	25	88	32	124
LOH3CR2A	57	33	173	32	70	86	34	132	22	15
LONP1	3563	5714	3508	4319	4001	2997	5616	8268	3854	4779
LONP2	2077	13460	3616	5765	5454	1518	1802	5548	4060	4036
LONRF1	975	388	1478	601	711	979	939	1612	646	200
LONRF2	3	375	2754	1969	959	61	61	6553	1153	1730
LONRF3	845	12	50	6	33	24	34	51	9	6
LOR	18	0	2	2	1	6	4	0	2	0
LOXHD1	18	15	13	13	14	31	3	14	9	2
LOXL1	1413	955	2339	1494	5289	1850	1367	3046	1523	1272
LOXL2	19314	1630	2323	1858	3849	3390	2043	2223	1166	1608
LOXL3	256	112	619	174	83	289	783	481	523	243
LOXL4	27	77	220	69	164	258	2701	52	158	16
LOX	3252	497	2235	626	2395	2266	980	1356	562	446
LPAL2	57	3	13	2	4	13	21	4	9	0
LPAR1	168	782	604	821	1024	647	351	563	597	405
LPAR2	1628	1016	589	861	481	982	1880	1653	1023	577
LPAR3	108	1186	28	19	43	18	24	215	35	6
LPAR4	12	20	22	5	15	13	6	21	7	5
LPAR5	711	188	414	94	120	239	648	476	313	122
LPAR6	1246	1815	1492	1214	793	1139	996	1506	1044	806
LPA	1	0	0	0	0	0	1	0	0	0
LPCAT1	3024	7861	3710	4732	1067	4219	4242	4906	4899	2046
LPCAT2	1394	482	804	529	570	472	967	732	730	147
LPCAT3	2537	7855	8035	3862	7523	1698	2278	6134	7225	2102
LPCAT4	740	1101	998	605	224	893	974	760	1146	159
LPGAT1	15694	7041	10147	5496	2368	2901	3790	15731	5126	2945
LPHN1	33015	1815	3779	3168	2104	1715	5240	3565	2627	6583
LPHN2	2323	842	1025	469	1320	1896	1275	706	683	4892
LPHN3	81	16	19	13	24	58	6	27	36	19
LPIN1	4717	694	1030	1095	1606	1280	1532	883	1448	439
LPIN2	1974	1426	3399	1836	1804	1199	1659	7078	2587	3313
LPIN3	1703	833	2785	2187	711	616	703	1749	2637	1370
LPL	501	459	752	602	897	4819	1052	543	288	81
LPO	13	1	0	2	5	2	15	2	0	2
LPPR1	47	4	1	6	20	3	0	0	21	1
LPPR2	1337	689	2745	3817	1426	1131	796	2864	3194	2769
LPPR3	80	2033	325	2450	93	4	48	465	783	594
LPPR4	221	45	58	44	76	187	94	66	66	27
LPPR5	0	3	33	12	6	2	0	20	1	2
LPP	1123	1474	1320	500	1537	255	481	965	934	191
LPXN	1008	634	1130	367	362	1575	1887	956	1529	348
LQK1	184	285	33	16	6	10	6	144	75	10
LRAT	407	54	0	150	70	38	191	54	67	0
LRBA	3360	14182	18454	7976	8391	1453	2643	18164	9138	11566
LRCH1	899	900	1601	1111	995	923	904	996	1022	911
LRCH2	17	34	67	29	81	68	40	56	20	6
LRCH3	1421	1128	1310	695	551	648	861	879	982	572
LRCH4	2102	4186	3962	3708	2824	2118	2494	2802	3317	2688
LRDD	1420	1090	878	1869	1090	667	955	1277	2204	1109
LRFN1	481	586	366	303	92	203	597	180	742	187
LRFN2	5	39	24	29	124	0	0	42	104	59
LRFN3	812	949	445	554	590	640	887	751	557	512
LRFN4	4793	575	1668	715	467	1503	1932	428	1955	292
LRFN5	12	30	38	6	122	48	7	9	29	1
LRG1	82	3151	5630	1507	58	154	34	5065	3572	350
LRGUK	7	38	122	35	22	12	10	158	78	22
LRIG1	5594	7385	5120	8939	12018	2913	1318	20834	8360	12206
LRIG2	797	434	424	703	704	294	634	938	645	307
LRIG3	1666	280	725	500	1042	947	2385	885	222	148
