	TCGA-A1-A0SP-01	TCGA-A1-A0SB-01	TCGA-A1-A0SM-01	TCGA-A1-A0SO-01	TCGA-A1-A0SK-01	TCGA-A1-A0SF-01	TCGA-A1-A0SQ-01	TCGA-A1-A0SN-01	TCGA-A1-A0SG-01	TCGA-A1-A0SE-01	TCGA-A1-A0SH-01	TCGA-A1-A0SD-01	TCGA-A1-A0SI-01	TCGA-A1-A0SJ-01
PLEKHA1	2250	2696	2201	2371	1984	1705	1245	1593	2051	1920	1855	2821	2217	3101
PLEKHA2	1619	1675	2400	372	1246	1811	1001	2163	3034	2569	2895	2035	2766	1678
PLEKHA3	939	607	1588	1002	786	632	746	764	1043	1120	1068	1519	1207	1278
PLEKHA4	656	2531	2672	187	1648	1368	384	1109	1015	3119	1801	1629	1269	859
PLEKHA5	6630	2305	2942	7276	5862	1447	2155	3211	1186	2064	2357	2413	1704	1224
PLEKHA6	884	7523	12212	277	5676	4213	8430	3727	5442	8611	10102	4840	9349	8719
PLEKHA7	2094	1978	2131	2796	2829	870	1289	1831	1424	1412	902	2009	2166	1219
PLEKHA8	385	323	353	961	316	266	151	497	284	248	255	242	490	415
PLEKHA9	324	144	145	292	381	176	95	165	185	208	152	126	279	104
PLEKHB1	4415	2454	891	6267	3271	414	6739	319	154	874	141	1957	432	931
