	TCGA-OL-A5RW-01	TCGA-OL-A5RX-01	TCGA-OL-A6VR-01	TCGA-OL-A5S0-01	TCGA-OL-A5RV-01	TCGA-OL-A66O-01	TCGA-OL-A5RZ-01	TCGA-OL-A66P-01	TCGA-OL-A66J-01	TCGA-OL-A66H-01	TCGA-OL-A97C-01	TCGA-OL-A66L-01	TCGA-OL-A66N-01	TCGA-OL-A66I-01	TCGA-OL-A5D7-01	TCGA-OL-A6VO-01	TCGA-OL-A5DA-01	TCGA-OL-A5D8-01	TCGA-OL-A5RU-01	TCGA-OL-A5D6-01	TCGA-OL-A6VQ-01	TCGA-OL-A66K-01	TCGA-OL-A5RY-01
LOC200030	807	2207	1826	494	2476	936	739	308	1283	832	1026	581	841	1490	1357	2311	1621	5922	1980	913	897	1765	658
LOC200726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC201651	31	1	3	1	7	0	0	1	5	1	2	5	3	3	0	3	2	1	0	0	0	3	7
LOC202181	48	109	185	22	184	122	31	23	38	75	168	51	30	39	142	164	81	172	51	49	49	50	32
LOC202781	574	1221	1540	545	1007	2396	1673	173	846	1440	329	511	879	518	488	621	864	1054	447	398	180	831	360
LOC219347	45	99	378	95	182	397	147	62	243	123	45	189	159	52	96	197	188	342	317	263	120	294	32
LOC220429	2	9	18	1	11	2	3	2	3	12	1	1	4	4	1	3	0	3	8	6	5	0	5
LOC220594	47	517	30	252	758	471	1004	164	36	63	372	4	59	317	34	853	44	608	38	163	44	802	9
LOC220729	399	290	414	287	432	284	379	223	235	163	269	178	189	145	259	459	299	409	330	189	100	344	194
LOC220930	202	194	255	397	178	269	88	78	253	144	292	106	205	648	175	179	214	268	162	111	34	219	173
LOC221122	0	3	2	0	0	5	0	2	0	0	0	0	1	0	0	1	0	0	0	8	0	3	0
LOC221442	51	186	156	24	237	195	188	17	73	63	52	64	77	201	198	203	167	78	170	60	15	76	34
LOC221710	1474	385	352	1327	536	617	1276	414	633	485	502	375	373	1777	636	1339	1652	704	556	352	267	774	539
LOC222699	257	108	108	247	161	59	45	64	112	97	30	44	123	151	22	232	132	106	88	61	32	102	63
LOC253039	725	2326	1563	673	2044	1145	1331	891	126	1341	918	344	660	1681	807	1443	814	1521	1208	1097	397	1424	926
LOC253724	24	40	48	10	49	27	28	15	28	34	21	33	20	30	13	15	34	49	29	24	8	54	13
LOC254312	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC254559	12	363	232	39	231	282	290	110	57	14	257	249	167	130	22	19	198	256	214	351	111	113	172
LOC255025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC255167	70	3	102	9	8	3	0	10	0	3	2	2	2	5	1	89	4	2	20	397	0	4	2
LOC256880	9	4	7	3	13	10	15	2	8	2	3	0	2	12	11	12	12	3	2	5	0	12	3
LOC257358	3	13	3	4	8	7	0	2	9	3	7	10	7	9	5	0	2	2	4	5	5	3	18
LOC25845	828	845	1523	1189	798	1650	1310	402	676	1143	357	743	1640	1115	1255	856	713	979	620	480	243	807	596
LOC26102	4	1	0	4	9	8	13	2	4	6	0	3	11	8	8	2	1	10	3	2	0	6	1
LOC282997	56	251	90	82	189	133	612	156	116	101	79	351	167	140	76	61	116	94	121	222	62	382	159
LOC283050	85	148	78	59	80	118	206	34	47	24	54	83	271	28	31	42	212	292	42	20	23	164	48
LOC283070	1480	958	515	1493	367	696	864	334	823	469	380	450	677	1585	2788	5230	543	302	632	411	142	1588	726
LOC283174	210	323	813	9	641	239	12	41	487	166	261	158	198	42	30	14	193	137	132	144	71	185	43
LOC283267	1014	265	506	385	273	254	176	166	577	426	199	174	245	733	370	1311	521	505	248	271	129	404	364
LOC283314	77	293	157	62	395	425	91	43	117	73	119	119	142	328	179	93	326	148	244	103	79	202	113
LOC283332	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC283392	15	15	2	5	1	0	12	1	151	0	0	39	0	12	1	5	1	1	22	0	8	2	5
LOC283404	7	1	2	10	1	1	5	3	0	0	0	3	18	0	3	7	1	6	1	1	1	1	3
LOC283663	24	274	289	113	314	152	46	176	180	95	96	182	261	94	167	75	184	66	803	64	57	85	450
LOC283731	37	9	5	4	14	8	7	7	19	3	103	11	17	5	2	0	6	5	5	24	5	12	7
LOC283761	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	1	0	0	0	0	1
LOC283856	1	4	5	1	3	1	0	0	0	3	3	1	1	5	0	0	0	2	2	2	1	0	0
LOC283867	12	20	1	12	18	62	34	58	36	4	2	59	113	26	2	5	70	50	6	79	19	60	22
LOC283914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC283922	61	148	184	60	134	211	205	29	87	86	107	36	95	72	98	214	51	83	202	77	26	63	46
LOC283999	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
LOC284009	0	4	3	0	1	6	0	1	2	1	1	3	5	1	0	4	5	0	4	0	0	0	0
LOC284023	233	443	661	160	428	450	149	62	222	379	167	180	290	299	172	319	328	331	249	150	144	635	150
LOC284100	7	9	6	3	7	0	1	2	3	3	0	2	1	0	7	1	1	3	1	1	1	3	1
LOC284232	6	57	34	3	90	23	16	5	27	40	21	25	18	20	9	78	34	23	16	9	13	11	8
LOC284233	11	52	152	5	161	122	32	9	23	23	44	162	559	24	107	1621	93	48	38	6	22	11	12
LOC284276	5	104	299	6	39	404	0	4	0	96	35	134	53	1	3	0	108	281	25	1	9	12	4
LOC284379	3	0	18	8	1	3	1	0	12	0	0	0	0	118	1	24	91	28	0	0	0	0	0
LOC284440	160	322	618	188	311	896	78	113	398	344	231	421	777	320	213	147	468	327	295	157	111	573	110
LOC284441	17	145	151	46	182	44	147	44	111	114	153	15	42	181	100	300	86	170	161	203	102	132	186
LOC284551	1	9	0	7	1	1	7	1	0	0	0	0	0	1	1	1	0	0	13	29	13	1	2
LOC284578	104	49	4	22	19	4	2	1	13	3	8	8	6	24	52	141	5	3	5	0	3	6	14
LOC284632	0	0	0	0	0	0	2	0	0	0	0	3	0	0	10	1	1	0	1	0	0	0	3
LOC284661	0	2	1	8	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0
LOC284688	2	0	0	2	0	2	1	0	3	0	1	3	0	3	0	0	0	113	1	1	2	0	1
LOC284749	46	41	2	12	3	17	0	15	4	2	0	15	3	7	24	3	3	29	43	3	6	8	28
LOC284788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC284798	0	0	0	0	0	1	1	0	0	0	16	2	0	3	0	0	0	0	0	0	0	0	1
LOC284837	547	282	81	303	289	53	18	86	15	30	60	111	35	278	294	157	120	297	261	518	16	47	138
LOC284900	382	562	898	278	516	1243	408	195	648	413	213	434	921	353	388	312	1511	1086	581	241	111	647	262
LOC285033	75	70	196	42	137	98	108	30	93	119	74	63	64	112	83	110	75	142	85	86	47	63	81
LOC285045	0	3	0	0	2	0	2	0	1	0	0	0	0	0	2	0	7	2	0	1	0	0	0
LOC285074	539	425	797	430	400	644	494	504	833	609	445	551	382	666	886	646	451	529	546	500	170	487	422
LOC285194	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
LOC285205	4	4	3	9	1	0	2	3	0	1	1	1	1	1	4	1	2	0	1	0	3	0	3
LOC285359	272	209	271	221	191	400	397	128	207	259	114	291	201	218	212	191	315	301	178	117	63	268	148
LOC285370	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC285375	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
LOC285401	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0
LOC285419	1	3	8	0	4	4	7	0	3	0	9	3	4	0	0	1	1	1	1	0	2	7	7
LOC285456	0	4	3	0	4	3	2	1	2	2	1	2	4	5	4	0	1	18	0	0	0	1	0
LOC285501	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC285548	76	3	0	24	0	0	0	3	3	0	2	1	4	67	4	55	7	0	1	8	3	4	5
LOC285593	2	13	57	3	22	26	15	5	9	5	21	12	2	3	5	4	60	8	45	11	11	14	0
LOC285627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC285629	190	5	0	18	0	0	4	0	0	0	0	4	2	29	45	17	2	1	2	2	0	0	31
LOC285692	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
LOC285696	0	1	9	2	1	8	1	1	7	0	15	3	7	3	0	2	3	55	1	5	0	1	1
LOC285733	0	0	1	0	0	2	2	0	4	2	0	0	1	0	0	4	0	0	0	0	1	1	0
LOC285735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC285740	0	1	0	0	0	2	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0
LOC285768	1	1	0	0	2	1	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	1	4
LOC285780	1	0	0	0	0	1	0	0	0	0	0	4	0	1	3	0	1	0	0	2	0	0	14
LOC285796	2	1	2	12	4	0	0	0	0	1	1	0	2	5	12	1	0	0	0	1	0	0	0
LOC285830	372	51	62	65	73	93	4	35	40	49	84	163	49	68	58	20	55	10	71	20	22	31	82
LOC285847	1	2	0	0	1	0	0	1	0	0	0	3	0	2	2	1	0	0	0	1	0	1	0
LOC285954	24	4	0	4	4	2	0	3	13	5	1	1	2	50	6	2	3	5	4	7	0	14	5
LOC286002	4	11	4	5	4	1	3	1	0	38	5	0	2	0	2	1	1	2	0	21	1	2	9
LOC286094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC286135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC286238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
LOC286359	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0
LOC286367	59	138	51	97	121	19	50	15	135	33	100	101	127	118	289	93	115	44	72	36	39	118	34
LOC286467	39	39	2	83	15	75	88	27	16	35	16	39	17	114	286	3	38	4	7	16	2	7	5
LOC29034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC338588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
LOC338651	160	116	115	95	343	112	155	20	147	163	53	9	14	51	15	732	23	115	314	150	23	137	326
LOC338758	24	98	164	52	145	42	227	56	124	65	76	51	95	42	39	21	51	54	45	100	36	61	118
LOC338799	567	1113	1907	306	1370	2658	1355	593	1096	599	724	1627	1399	649	1575	293	1457	1637	979	281	194	1115	260
LOC339047	1172	3861	3343	2413	3746	1899	4020	992	2806	1690	878	2761	2726	2159	3810	4014	4064	5215	2879	1344	1454	2138	1072
LOC339240	0	0	0	0	0	3	0	0	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC339290	1131	1400	1533	542	1442	1885	1200	428	2016	810	600	775	1202	1693	681	2326	1377	1523	1698	520	408	1270	1016
LOC339524	117	180	81	240	64	48	63	111	385	112	120	368	184	321	97	259	97	44	190	63	90	80	393
LOC339535	156	186	22	326	70	1	3	22	264	8	95	0	5	510	434	1131	7	2	48	19	3	13	30
LOC339568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC339674	59	1	6	31	2	51	34	11	4	18	24	2	3	52	99	42	14	34	2	17	1	7	19
LOC339788	0	1	0	1	3	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0
LOC340017	0	1	0	0	0	6	0	0	0	22	4	1	0	0	0	0	0	0	0	2	0	0	0
LOC340074	1	0	0	0	0	2	7	0	0	0	0	1	0	0	0	0	7	3	0	0	0	2	0
LOC340094	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC340357	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
LOC340508	1	3	3	5	0	2	1	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	1
LOC341056	70	32	30	41	19	39	52	22	47	40	15	20	25	92	30	69	35	28	40	24	7	30	23
LOC342346	1	5	14	2	4	15	11	0	3	7	4	2	1	9	4	1	4	5	7	2	4	3	1
LOC344595	364	287	929	155	510	755	21	83	644	908	296	237	560	228	83	126	502	380	661	125	209	367	213
LOC344967	20	6	28	7	14	64	6	5	10	32	4	15	8	11	8	24	28	69	20	11	0	18	9
LOC347376	1	0	5	0	1	3	1	0	1	0	0	1	4	2	2	9	4	0	2	2	1	1	0
LOC348021	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC348840	4	0	1	4	0	0	0	0	0	0	1	0	3	4	0	0	0	1	0	2	0	0	0
LOC348926	196	338	470	104	313	516	166	110	194	213	119	400	413	101	308	299	288	393	287	310	126	230	158
LOC349114	480	650	822	155	1056	926	349	152	596	832	306	366	944	378	466	209	678	676	665	332	102	493	306
LOC349196	29	18	9	9	28	26	0	3	17	5	28	8	22	12	2	11	16	74	20	0	16	14	4
LOC360030	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	3	0	0	0
LOC374443	157	334	459	199	376	436	192	377	679	280	206	294	342	516	373	140	322	403	334	286	154	248	332
LOC374491	9	4	20	10	3	6	0	3	4	8	118	2	24	26	7	9	4	13	1	1	1	7	3
LOC375190	144	358	328	265	166	528	150	168	332	316	71	222	540	176	61	153	315	105	254	80	62	644	181
LOC387646	91	57	36	48	450	35	92	9	17	58	9	37	36	291	32	85	77	7	36	80	36	104	19
LOC387647	1471	666	1407	1612	845	749	650	422	927	608	410	1364	834	1054	797	1536	895	772	606	493	465	950	803
LOC388152	2660	830	1531	1371	916	2192	1599	418	371	632	796	887	961	824	3834	4062	1426	947	768	403	219	616	419
LOC388242	56	87	34	73	39	50	20	46	30	417	37	104	314	890	21	36	28	34	63	34	30	40	114
LOC388387	0	1	0	2	1	1	0	0	6	1	0	7	2	0	1	0	0	2	0	1	0	3	0
LOC388428	0	2	1	0	2	2	0	0	0	0	0	2	1	1	3	1	1	4	0	0	0	2	0
LOC388588	116	118	313	26	93	281	35	490	19	142	40	1455	292	16	23	36	122	271	221	80	66	63	73
LOC388692	531	280	3382	160	1121	3769	304	346	2536	157	297	159	280	731	194	130	5924	3444	590	889	257	228	552
LOC388789	1177	1367	1866	1292	1073	2106	1942	1135	1128	1773	786	1937	2766	1708	1099	1455	1193	966	1168	1184	405	1323	1317
LOC388796	1793	1075	1296	1383	770	1843	2583	560	948	1657	669	883	2431	3741	1774	949	1589	1120	978	743	290	804	1244
LOC388946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC388955	1481	952	1159	1385	674	1875	916	1254	757	1130	511	991	1364	2495	1742	1780	901	850	769	1314	247	921	679
LOC389033	0	341	501	1	376	13	0	20	15	0	33	20	15	1	1	0	329	1	271	3	57	66	13
LOC389332	0	2	4	4	0	1	0	0	1	0	3	0	0	0	0	0	1	0	48	0	0	1	0
LOC389333	22	98	383	27	421	78	40	31	176	207	175	50	99	95	87	39	143	102	125	70	85	139	75
LOC389458	255	11	29	116	7	59	2	11	6	5	21	20	28	99	19	65	9	20	3	7	2	7	12
LOC389493	437	99	290	241	242	72	28	134	444	14	48	116	348	11	0	117	353	50	145	267	161	266	213
LOC389634	8	5	3	6	5	9	9	8	6	6	42	9	9	32	27	19	6	7	8	3	1	3	6
LOC389705	194	6	7	16	8	16	3	11	16	10	18	15	25	28	1	5	12	8	5	13	9	10	4
LOC389791	10	10	22	4	8	16	7	2	9	12	8	5	5	25	18	2	14	11	4	5	0	4	3
LOC390595	50	26	68	13	29	101	18	17	41	18	6	64	46	27	33	20	43	7	26	4	11	22	22
LOC390858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC391322	8	0	34	11	49	48	39	14	29	26	13	37	62	34	26	10	0	26	29	17	3	11	21
LOC392196	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC399744	303	351	756	391	483	419	771	126	349	365	161	283	430	355	315	242	469	617	346	161	140	361	178
LOC399815	31	29	13	41	17	97	30	14	13	11	5	11	9	58	45	56	11	16	3	12	5	16	26
LOC399959	173	569	209	508	721	246	97	252	506	319	2822	363	537	360	53	107	508	223	480	301	277	638	367
LOC400027	175	755	1560	372	761	1569	754	285	838	487	380	743	850	408	385	340	460	1512	563	434	258	662	508
LOC400043	459	567	1212	337	623	3702	162	254	630	727	434	1677	974	284	65	163	1686	593	986	234	325	604	264
LOC400657	122	480	963	388	498	834	521	214	848	414	121	516	458	921	512	679	735	408	463	128	138	663	409
LOC400696	164	11	23	3	13	49	2	155	0	63	3	44	4	19	23	14	28	19	50	17	1	3	14
LOC400752	72	87	306	137	105	147	300	19	65	169	81	103	230	51	99	89	72	148	62	110	21	68	25
LOC400759	149	13	11	55	16	6	0	58	10	38	30	55	12	215	119	79	138	38	27	6	11	1	71
LOC400794	0	1	1	0	0	3	0	0	0	0	4	1	1	2	0	2	0	0	0	0	0	2	0
LOC400804	0	3	1	0	1	1	1	0	1	1	2	2	0	0	0	0	0	0	0	0	1	1	2
LOC400891	0	0	0	0	2	1	0	0	4	3	2	2	2	0	0	1	3	14	0	1	0	2	0
LOC400927	23	44	82	20	91	19	41	13	10	7	107	26	10	13	58	84	14	80	30	25	12	15	32
LOC400931	75	72	95	34	86	246	38	26	316	63	51	73	53	24	25	21	264	31	56	69	34	138	37
LOC400940	5	5	0	2	2	1	85	2	1	0	0	0	1	0	1	1	7	39	0	120	1	0	2
LOC401010	177	75	135	96	87	214	69	89	46	114	33	121	79	143	412	333	134	114	92	90	39	64	50
LOC401052	224	246	397	70	180	413	98	64	303	113	137	389	326	85	105	238	233	185	116	117	64	314	88
LOC401093	197	178	93	232	101	18	43	48	187	92	19	251	88	205	53	86	61	145	156	140	116	114	77
LOC401127	18	14	32	9	12	45	11	10	17	13	2	17	8	10	11	17	19	11	5	15	2	13	8
LOC401387	15	3	5	0	2	11	6	1	6	0	1	3	2	2	0	3	3	4	2	1	0	1	3
LOC401397	2603	1185	1207	2632	883	2099	463	763	1619	1724	595	1248	1044	2153	943	2831	1204	1291	1437	1108	485	1937	987
LOC401431	251	168	247	85	105	118	224	23	109	149	30	167	736	131	128	317	116	140	92	68	36	230	75
LOC401463	4	5	3	3	7	2	0	7	19	9	6	10	33	28	1	8	1	2	7	8	9	16	19
LOC401588	126	147	288	149	192	163	222	45	163	199	118	72	132	195	189	170	127	128	114	101	40	171	98
LOC402377	2	20	40	7	22	6	8	3	17	29	5	3	8	22	18	20	5	21	26	9	16	21	3
LOC402644	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
LOC407835	198	154	368	142	161	310	189	159	162	214	186	204	251	184	347	218	160	140	141	156	61	130	176
LOC415056	0	0	2	0	2	0	0	0	0	0	1	0	0	3	0	0	0	8	0	1	0	0	0
LOC440040	13	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC440173	2	5	2	2	4	1	27	4	2	0	1	1	0	1	0	0	1	0	0	0	7	9	0
LOC440354	120	376	342	168	390	453	286	43	168	210	173	359	459	400	558	849	204	282	262	162	128	810	246
LOC440356	24	1	4	49	4	73	1	1	7	0	3	4	137	1	1	0	9	30	0	2	2	94	0
LOC440461	59	9	8	7	8	22	109	300	17	9	5	33	17	15	14	932	8	3	18	10	6	3	28
LOC440563	1	3	5	3	0	6	0	1	3	8	1	0	2	2	1	1	4	4	1	1	0	2	5
LOC440896	1	5	2	1	0	3	0	3	1	0	5	4	1	12	15	0	4	6	4	1	1	3	2
LOC440905	313	112	87	118	1399	67	471	161	12	229	803	20	411	21	489	11	502	266	256	355	26	1262	13
LOC440925	17	71	7	0	49	47	2	23	4	3	9	66	19	8	3	0	2	13	125	19	32	16	10
LOC440944	454	540	597	377	825	767	780	244	534	559	217	426	448	839	759	650	645	715	590	434	120	718	300
LOC440957	425	251	508	362	183	545	362	613	345	671	209	1679	625	375	599	302	217	355	392	514	68	303	236
LOC441046	12	32	47	15	24	1	8	9	11	33	26	17	12	13	2	4	5	8	22	24	9	6	27
LOC441089	215	287	304	299	246	240	372	134	308	312	126	148	185	596	342	418	223	243	299	228	75	276	324
LOC441177	1	1	0	0	3	0	0	0	0	0	9	0	2	0	23	11	1	0	0	3	0	1	5
LOC441204	28	35	144	43	59	221	38	22	192	13	46	76	31	54	23	44	71	37	17	42	41	378	36
LOC441208	53	97	239	17	128	74	41	43	118	126	118	31	22	50	85	57	59	144	73	132	67	63	30
LOC441294	127	204	130	68	279	78	27	69	184	95	79	79	143	39	196	454	97	66	175	152	151	144	40
LOC441454	1	5	6	3	13	3	3	2	5	8	6	1	2	3	6	3	7	10	5	1	5	7	1
LOC441455	52	15	50	85	33	2	15	9	21	33	46	33	23	72	51	50	55	25	41	32	10	28	24
LOC441601	3	2	2	0	1	0	1	0	2	0	1	3	0	1	0	2	0	2	0	1	0	2	0
LOC441666	147	160	98	138	126	3	60	10	132	15	79	24	33	151	484	489	12	145	158	123	43	36	98
LOC441869	598	455	682	270	382	102	481	60	249	150	98	414	1005	121	79	142	869	227	357	288	187	779	398
LOC442308	4	1	0	3	0	1	3	1	0	0	21	1	0	3	2	11	4	1	1	0	0	1	0
LOC442421	36	37	63	8	85	34	12	9	656	44	16	20	48	38	17	71	261	148	99	30	37	153	23
LOC442454	353	213	640	390	111	399	209	314	130	124	153	362	678	138	182	453	222	277	124	164	65	121	253
LOC442459	4	2	6	1	6	4	18	0	0	5	2	1	5	12	6	9	3	8	1	6	4	3	4
LOC493754	1276	1302	1758	1054	1472	1410	1241	683	1255	1073	1199	1316	1688	947	1071	1631	1315	1190	1165	827	592	1279	754
LOC494141	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0
LOC541471	2227	470	322	1229	434	1944	647	874	457	413	386	1686	966	862	255	281	420	303	365	776	106	566	1051
LOC541473	1	17	17	7	18	33	31	10	16	10	14	21	13	12	2	14	14	20	8	14	6	10	6
LOC550112	532	506	1528	363	637	575	388	201	701	458	451	470	488	836	399	1164	888	827	609	656	227	481	723
LOC550643	1861	929	1980	3261	865	2065	274	1009	1189	976	656	1488	1353	1093	823	1066	1377	1157	1026	847	378	705	1198
LOC554202	72	51	20	1	53	7	6	6	9	1	14	3	33	14	0	41	35	2	13	11	22	35	11
LOC55908	1	2	0	4	4	2	3	0	35	0	2	9	22	0	0	0	2	2	0	0	1	2	0
LOC572558	0	1	4	0	1	2	0	1	22	2	0	4	13	9	0	1	0	0	3	1	0	5	1
LOC595101	65	437	424	331	428	121	594	224	267	437	136	156	173	572	117	277	199	368	58	393	58	248	299
LOC606724	81	65	38	140	35	53	13	615	42	100	53	436	313	290	187	110	70	58	165	44	24	18	340
LOC613037	5	67	2	6	40	9	82	5	42	9	4	13	2	68	50	8	16	40	41	5	34	17	28
LOC619207	9	91	119	4	234	78	510	20	20	16	50	40	22	17	25	23	87	179	131	16	65	104	6
LOC641298	5	349	100	45	239	29	35	32	70	15	155	34	121	205	172	383	65	193	175	75	108	200	67
LOC641367	4	6	4	7	18	8	12	3	2	5	8	8	0	9	8	12	10	17	13	10	1	19	5
LOC642587	1788	2232	623	320	1526	2014	323	39	148	25	168	3413	504	50	329	8	1700	350	173	314	630	1947	353
LOC642597	0	0	0	5	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	1	0
LOC642826	70	244	296	154	309	209	165	56	72	93	135	157	159	72	99	436	321	323	135	145	96	373	93
LOC642846	668	426	521	439	830	1186	626	269	557	477	257	420	463	486	2587	599	659	543	254	119	140	171	206
LOC642852	616	782	664	396	1116	588	409	138	621	562	548	511	515	499	546	1575	948	1291	696	568	315	1086	343
LOC642929	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC643008	427	15	55	19	39	201	83	21	71	14	9	66	343	26	24	160	54	44	56	29	12	92	139
LOC643387	163	83	113	156	73	161	65	73	112	126	40	113	87	225	151	128	124	104	107	93	28	124	90
LOC643486	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC643677	2	2	8	0	3	3	8	2	0	0	9	1	2	4	9	21	10	4	4	1	0	3	1
LOC643719	28	132	30	16	11	56	9	6	16	7	55	49	62	14	9	2380	48	11	1602	1171	7	15	26
LOC643763	1	21	7	11	29	0	6	0	2	3	2	6	1	3	0	8	20	2	0	3	5	5	36
LOC643837	486	312	480	439	287	282	182	168	224	348	195	575	529	396	329	624	611	391	235	230	152	389	139
LOC643923	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC643955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC644145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC644165	22	16	10	11	14	65	43	116	10	2	3	20	55	35	37	19	29	71	56	102	7	45	3
LOC644172	36	155	47	14	28	35	117	3	129	44	21	14	71	3	14	4	163	31	64	15	5	26	12
LOC644538	180	137	424	228	81	89	33	123	182	82	83	166	203	111	149	347	90	40	92	93	59	157	180
LOC644669	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	2	1
LOC644936	75	93	22	224	106	26	96	42	143	137	31	48	54	247	72	68	70	82	68	87	27	173	114
LOC645166	1884	190	173	236	104	295	122	293	172	293	438	379	314	321	162	136	292	173	197	246	94	217	250
LOC645323	1	36	0	41	2	0	2	12	0	0	11	0	18	196	0	501	5	0	1	13	0	7	8
LOC645332	209	424	743	160	427	1479	288	97	184	373	141	461	544	191	715	505	1209	371	480	173	103	335	144
LOC645431	11	123	865	20	191	193	29	38	178	138	39	38	57	26	26	15	43	31	66	15	44	42	81
LOC645676	102	145	116	251	135	246	151	65	88	152	82	287	207	271	217	116	53	84	162	47	64	178	96
LOC645752	0	3	8	0	2	0	0	0	2	0	0	0	1	0	1	0	2	0	1	1	2	1	0
LOC646214	214	216	197	284	554	140	134	112	284	250	131	130	104	169	110	585	407	310	302	253	93	186	214
LOC646471	58	187	190	22	356	67	427	29	53	120	177	17	44	49	110	142	164	273	299	260	62	172	66
LOC646498	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC646627	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
LOC646762	669	1492	1325	228	877	1112	447	193	655	1591	679	227	440	353	798	729	815	6004	699	246	437	1128	243
LOC646813	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC646851	85	473	490	170	457	339	394	35	476	241	158	181	343	150	238	329	626	785	361	227	62	508	124
LOC646982	1	2	0	0	5	1	1	0	4	0	15	1	0	2	1	1	0	0	5	0	2	0	0
LOC646999	31	19	176	12	27	65	34	6	33	20	7	17	22	18	31	28	42	16	12	21	22	30	32
LOC647121	125	152	235	67	85	112	118	75	192	620	131	72	42	228	75	158	95	57	223	53	24	83	201
LOC647288	15	12	14	13	32	11	1	8	12	7	15	5	16	3	20	37	17	11	49	18	15	16	6
