	TCGA-OL-A5RW-01	TCGA-OL-A5RX-01	TCGA-OL-A6VR-01	TCGA-OL-A5S0-01	TCGA-OL-A5RV-01	TCGA-OL-A66O-01	TCGA-OL-A5RZ-01	TCGA-OL-A66P-01	TCGA-OL-A66J-01	TCGA-OL-A66H-01	TCGA-OL-A97C-01	TCGA-OL-A66L-01	TCGA-OL-A66N-01	TCGA-OL-A66I-01	TCGA-OL-A5D7-01	TCGA-OL-A6VO-01	TCGA-OL-A5DA-01	TCGA-OL-A5D8-01	TCGA-OL-A5RU-01	TCGA-OL-A5D6-01	TCGA-OL-A6VQ-01	TCGA-OL-A66K-01	TCGA-OL-A5RY-01
COL4A3BP	669	1780	2093	646	1741	939	905	574	1334	1538	940	1015	2904	1092	352	818	1688	1297	1729	1540	1027	2236	1189
COL4A3	91	77	33	25	77	2	19	35	5	28	3	8	19	20	19	119	5	0	143	260	16	7	85
COL4A4	251	203	112	358	125	11	59	211	46	208	9	51	80	68	74	453	39	26	363	366	61	9	474
COL4A5	293	7279	3190	301	7850	2783	785	383	1785	1041	3534	1094	933	423	141	337	2501	1933	3449	781	1287	2221	1019
COL4A6	12	1462	451	6	1081	114	9	20	52	42	609	63	63	12	2	0	119	54	191	56	114	61	58
COL5A1	8156	17063	2511	14216	12684	14394	5854	10583	19979	11365	32541	17170	20366	30122	4526	6810	16816	18427	5705	47389	15797	30399	25789
COL5A2	7120	12422	1707	12668	10393	15704	4445	7882	15177	9223	41785	14594	19253	19773	3398	6405	11473	11430	6499	31083	16854	29085	24544
COL5A3	1837	1469	553	1521	519	3960	744	2777	2643	1709	7001	3684	2373	2667	606	911	1312	1705	1064	3642	1715	3370	3713
COL6A1	25591	24805	7842	34059	23828	39041	9402	32360	47715	24107	257093	66055	66375	68553	26162	32252	29656	32861	15036	52039	22543	66957	49371
COL6A2	28944	32135	14408	61041	29717	76104	12475	62254	54482	29114	230436	146045	118581	81115	22753	29309	34450	30478	20420	70407	25702	68184	62162
COL6A3	11915	35681	6355	30027	36552	28932	12141	15998	47995	25561	288878	32019	44084	33509	9066	14382	36558	34246	19645	68638	52132	63735	59531
COL6A4P2	36	13	4	9	13	35	6	7	14	3	9	3	22	19	13	2	26	3	6	6	1	17	5
COL6A6	7	271	12	18	263	33	7	53	123	37	7	260	365	22	32	6	37	8	60	59	213	40	388
COL7A1	1438	2316	1233	521	2982	6170	528	256	1902	134	1767	1067	652	638	1163	201	1297	657	729	998	922	474	594
COL8A1	493	674	205	587	817	351	399	438	603	384	99	473	633	1096	138	159	852	1338	1144	2665	727	2105	727
COL8A2	1604	3032	1730	1521	2622	2695	1068	1239	1636	639	2290	2779	2376	5959	304	443	2895	2713	2261	4718	1877	6253	1403
COL9A1	135	5	5	660	1	6	3	1	1	3	0	30	9	980	1	102	0	5	5	2	9	0	2
COL9A2	433	2279	2946	4854	2017	349	486	739	854	136	1274	472	4331	3013	1361	334	3628	7783	2588	270	550	419	412
COL9A3	146	270	192	2984	171	74	15	968	62	32	2732	84	215	1050	610	154	98	556	296	819	26	88	263
COLEC10	16	10	24	0	4	0	8	2	2	2	2	3	1	6	2	4	0	8	5	1	3	2	3
